model	omega	E_kin	E_pot	U	eb1_1	eb2_1	eb3_1	eb4_1	mu	t	tb1_1	tb2_1	tb3_1	tb4_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	E0_1	sector_1	n_1	githash	version	distance	diff_param	diff_hybrid	script	time	
2L_4b_gen	1.2482473	-1.0733902	35.373886	4	0.87326276	-0.56457159	0.87324308	-0.56457656	2	1	0.39287218	0.39605505	0.39287826	0.39605244	1.063659	-1.0733902	0	0	0	1.034601	1.0706913	1.0526462	-0.74561086	1.034601	0.74561086	0.57798032	-0.65016093	-7.509068	R0:N6:S0:1	1.0526462	20a4d9d	v2.1.5	 9.13e-03	 2.56e-01	 7.16e-02	general_bath_1D.py	2023-07-06@13:34
2L_4b_gen	1.4236203	-0.97598261	6.5161701	4	1.3504776	-0.72429075	1.3909086	-0.58589683	2	1	0.40978173	0.43832354	0.3891479	0.4219091	1.0393496	-0.97598261	0	0	0	1.0673407	1.0294488	1.0483948	-0.67027796	1.0673407	0.67027796	0.79412545	-0.71834179	-7.8744242	R0:N6:S0:1	1.0483948	20a4d9d	v2.1.5	 7.24e-03	 1.08e-01	 6.33e-02	general_bath_1D.py	2023-07-06@13:34
2L_4b_gen	1.7210708	-1.01562	2.0219552	4	1.2331912	-0.80426676	1.2331116	-0.80425124	2	1	0.41258921	0.42588384	0.41258376	0.4258787	1.0359677	-1.01562	0	0	0	1.0279972	1.0486654	1.0383313	-0.70904997	1.0279972	0.70904997	0.63789436	-0.67923082	-8.422657	R0:N6:S0:1	1.0383313	20a4d9d	v2.1.5	 1.25e-03	 2.70e-02	 5.17e-02	general_bath_1D.py	2023-07-06@13:34
2L_4b_gen	1.7629489	-1.0043697	13.242079	4	1.183083	-0.82455607	1.1831665	-0.82453255	2	1	0.41126027	0.42678047	0.41126756	0.42677575	1.0265018	-1.0043697	0	0	0	1.0270762	1.0318999	1.029488	-0.69245862	1.0270762	0.69245862	0.66923514	-0.67888249	-8.5454722	R0:N6:S0:1	1.029488	20a4d9d	v2.1.5	 2.96e-03	 1.73e-02	 5.82e-03	general_bath_1D.py	2023-07-06@13:34
2L_4b_gen	1.7924867	-1.0116523	2.1075902	4	1.1515009	-0.83675458	1.1514797	-0.83676888	2	1	0.41824378	0.42599924	0.41824282	0.4259998	1.0344888	-1.0116523	0	0	0	1.0207325	1.048719	1.0347257	-0.69946966	1.0207325	0.69946966	0.6425257	-0.6984986	-8.5592903	R0:N6:S0:1	1.0347257	20a4d9d	v2.1.5	 1.91e-03	 8.49e-03	 9.67e-03	general_bath_1D.py	2023-07-06@13:34
model	omega	E_kin	E_pot	U	eb1_1	eb2_1	eb3_1	eb4_1	mu	t	tb1_1	tb2_1	tb3_1	tb4_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	E0_1	sector_1	n_1	githash	version	distance	diff_param	diff_hybrid	script	time	
2L_4b_gen	1.9592235	-0.95905285	2.0091851	4	1.3133194	-0.92430337	1.3133423	-0.92433447	2	1	0.42519886	0.42648984	0.42519751	0.42649277	1.0201428	-0.95905285	0	0	0	1.0266486	1.0214317	1.0240402	-0.66850524	1.0266486	0.66850524	0.71628681	-0.70585292	-8.9631897	R0:N6:S0:1	1.0240402	20a4d9d	v2.1.5	 6.56e-04	 6.88e-02	 1.00e+06	general_bath_1D.py	2023-07-06@14:23
2L_4b_gen	2.2096799	-1.0032415	21.086617	4	1.2540759	-1.0481588	1.2540324	-1.048142	2	1	0.42742401	0.43532204	0.4274271	0.43531932	1.0054005	-1.0032415	0	0	0	1.0341511	0.98109597	1.0076235	-0.70306346	1.0341511	0.70306346	0.66217519	-0.55606502	-9.4213439	R0:N6:S0:1	1.0076235	20a4d9d	v2.1.5	 3.17e+00	 9.49e+06	 1.59e-02	general_bath_1D.py	2023-07-06@14:23
model	omega	E_kin	E_pot	U	eb1_1	eb2_1	eb3_1	eb4_1	mu	t	tb1_1	tb2_1	tb3_1	tb4_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	E0_1	sector_1	n_1	githash	version	distance	diff_param	diff_hybrid	script	time	
2L_4b_gen	1.9597111	-0.97505524	0.58512483	4	1.3133194	-0.92430337	1.3133423	-0.92433447	2	1	0.42519886	0.42648984	0.42519751	0.42649277	0.998406	-0.97505524	0	0	0	1.0032057	1.007349	1.0052774	-0.68438024	1.0032057	0.68438024	0.63765094	-0.6459376	-8.9953652	R0:N6:S0:1	1.0052774	20a4d9d	v2.1.5	 2.90e-04	 9.28e-02	 1.00e+06	general_bath_1D.py	2023-07-06@14:30
2L_4b_gen	2.2971922	-0.95501326	1.2526213	4	1.2335447	-1.0915701	1.233597	-1.0915499	2	1	0.43567362	0.42931426	0.435681	0.42931564	0.99520352	-0.95501326	0	0	0	1.0041336	0.99135801	0.99774578	-0.66491551	1.0041336	0.66491551	0.6784361	-0.65288501	-9.6769234	R0:N6:S0:1	0.99774578	20a4d9d	v2.1.5	 2.05e-04	 4.84e-02	 2.95e-02	general_bath_1D.py	2023-07-06@14:31
2L_4b_gen	2.4293673	-0.97765936	0.44129417	4	1.1627678	-1.1574347	1.1627736	-1.1574531	2	1	0.43356979	0.43202059	0.43357299	0.43202413	0.99719194	-0.97765936	0	0	0	0.98373495	1.012268	0.99800147	-0.68439255	0.98373495	0.68439255	0.59868481	-0.65575088	-9.9375416	R0:N6:S0:1	0.99800147	20a4d9d	v2.1.5	 3.52e-04	 1.86e-02	 9.91e-03	general_bath_1D.py	2023-07-06@14:31
2L_4b_gen	2.4169884	-0.97435551	0.94975399	4	1.1263242	-1.1502609	1.1264118	-1.1503263	2	1	0.43377417	0.43116632	0.43378988	0.43117664	0.99789003	-0.97435551	0	0	0	0.99187579	0.99986563	0.99587071	-0.67993333	0.99187579	0.67993333	0.62388493	6.0473719	-9.9171992	R0:N6:S0:1	0.99587071	20a4d9d	v2.1.5	 1.00e-03	 4.35e-02	 5.06e-03	general_bath_1D.py	2023-07-06@14:32
