model	E_kin	U	eb1_1	eb2_1	eb3_1	eb4_1	mu	t	tb1_1	tb2_1	tb3_1	tb4_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	E0_1	sector_1	n_1	githash	version	script	time	
2L_4b_gen	-1.0095059	4	0.35348769	-0.19849378	0.34381865	-0.19686352	1	1	0.32870347	0.32771589	0.32729181	0.32652732	0.86053263	-1.0095059	nan	nan	nan	nan	nan	0.89232504	-0.60200974	nan	nan	nan	nan	-4.1819256	R0:N6:S0:1	0.89232504	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:30

model	omega	E_kin	E_pot	U	eb1_1	eb2_1	eb3_1	eb4_1	mu	t	tb1_1	tb2_1	tb3_1	tb4_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	E0_1	sector_1	n_1	githash	version	script	time	
2L_4b_gen	0.50732753	-1.0095059	0.30156468	4	0.35348769	-0.19849378	0.34381865	-0.19686352	1	1	0.32870347	0.32771589	0.32729181	0.32652732	0.86053263	-1.0095059	nan	nan	nan	nan	nan	0.89232504	-0.60200974	nan	nan	nan	nan	-4.1819256	R0:N6:S0:1	0.89232504	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:30

model	E_kin	U	eb1_1	eb2_1	eb3_1	eb4_1	mu	t	tb1_1	tb2_1	tb3_1	tb4_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	E0_1	sector_1	n_1	githash	version	script	time	
2L_4b_gen	-1.0100322	4	0.3524516	-0.19729198	0.34467057	-0.19676253	1.025	1	0.32853584	0.32851896	0.32755616	0.32765396	0.86611985	-1.0100322	nan	nan	nan	nan	nan	0.89693123	-0.60298026	nan	nan	nan	nan	-4.2262154	R0:N6:S0:1	0.89693123	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:31
2L_4b_gen	-1.0069193	4	0.35702066	-0.20102494	0.35015077	-0.19902428	1.025	1	0.32540246	0.33115568	0.32421603	0.3302444	0.86442374	-1.0069193	nan	nan	nan	nan	nan	0.8961063	-0.60207462	nan	nan	nan	nan	-4.2329568	R0:N6:S0:1	0.8961063	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:32
2L_4b_gen	-1.007679	4	0.36339461	-0.19863613	0.35664075	-0.19729978	1.025	1	0.3281594	0.32796634	0.32714372	0.32712607	0.86534311	-1.007679	nan	nan	nan	nan	nan	0.89654067	-0.60573378	nan	nan	nan	nan	-4.2226697	R0:N6:S0:1	0.89654067	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:32
2L_4b_gen	-1.0074919	4	0.36586289	-0.20408915	0.35961566	-0.20187331	1.025	1	0.32614737	0.32992778	0.32499863	0.3290439	0.86610159	-1.0074919	nan	nan	nan	nan	nan	0.89863823	-0.60750408	nan	nan	nan	nan	-4.239382	R0:N6:S0:1	0.89863823	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:33
