model	omega	E_kin	E_pot	U	eb1_1	eb2_1	eb3_1	eb4_1	mu	t	tb1_1	tb2_1	tb3_1	tb4_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	E0_1	sector_1	n_1	githash	version	distance	diff_param	diff_hybrid	script	time	
2L_4b_gen	0.50748605	-1.0117916	0.30087803	4	0.34820296	-0.1977217	0.33925529	-0.19727237	1	1	0.32655147	0.32929787	0.32542882	0.32834891	0.86006326	-1.0117916	nan	nan	nan	nan	nan	0.89151552	-0.60279298	nan	nan	nan	nan	-4.1823626	R0:N6:S0:1	0.89151552	20a4d9d	v2.1.5	 3.98e-02	 2.03e-03	 1.53e-03	general_bath_1D.py	2023-07-27@12:25
2L_4b_gen	0.50387716	-1.0098968	0.30330028	4	0.35079001	-0.19562221	0.3413809	-0.19509233	1	1	0.32861963	0.32789123	0.32745399	0.32685859	0.86126591	-1.0098968	nan	nan	nan	nan	nan	0.89184693	-0.60064599	nan	nan	nan	nan	-4.1747367	R0:N6:S0:1	0.89184693	20a4d9d	v2.1.5	 3.94e-02	 4.21e-03	 3.01e-03	general_bath_1D.py	2023-07-27@12:26
2L_4b_gen	0.50961305	-1.0084559	0.29978099	4	0.35745669	-0.1985255	0.35012236	-0.1976889	1	1	0.33009756	0.32854995	0.32910735	0.32769231	0.85992041	-1.0084559	nan	nan	nan	nan	nan	0.89204067	-0.60211325	nan	nan	nan	nan	-4.1863597	R0:N6:S0:1	0.89204067	20a4d9d	v2.1.5	 3.99e-02	 4.59e-03	 3.76e-03	general_bath_1D.py	2023-07-27@12:26
2L_4b_gen	0.50504352	-1.0080459	0.30087654	4	0.35020862	-0.19700539	0.34065027	-0.19648885	1	1	0.32687073	0.32807776	0.32567575	0.32705477	0.86001722	-1.0080459	nan	nan	nan	nan	nan	0.89035633	-0.60101685	nan	nan	nan	nan	-4.1771074	R0:N6:S0:1	0.89035633	20a4d9d	v2.1.5	 3.95e-02	 4.54e-03	 3.22e-03	general_bath_1D.py	2023-07-27@12:27
2L_4b_gen	0.50689367	-1.0104187	0.30285647	4	0.35825179	-0.19827848	0.34966902	-0.19738453	1	1	0.32956648	0.32724442	0.32842125	0.32625678	0.8606095	-1.0104187	nan	nan	nan	nan	nan	0.89351255	-0.60574415	nan	nan	nan	nan	-4.1814968	R0:N6:S0:1	0.89351255	20a4d9d	v2.1.5	 4.04e-02	 8.24e-03	 3.97e-03	general_bath_1D.py	2023-07-27@12:28
2L_4b_gen	0.50536181	-1.0131504	0.30143938	4	0.34297111	-0.19727485	0.33336095	-0.19716533	1	1	0.32499515	0.32766838	0.32385669	0.32669226	0.86085887	-1.0131504	nan	nan	nan	nan	nan	0.89055625	-0.60480416	nan	nan	nan	nan	-4.1779031	R0:N6:S0:1	0.89055625	20a4d9d	v2.1.5	 3.99e-02	 5.56e-03	 5.36e-03	general_bath_1D.py	2023-07-27@12:29
2L_4b_gen	0.50732753	-1.0095059	0.30156468	4	0.35348769	-0.19849378	0.34381865	-0.19686352	1	1	0.32870347	0.32771589	0.32729181	0.32652732	0.86053263	-1.0095059	nan	nan	nan	nan	nan	0.89232504	-0.60200974	nan	nan	nan	nan	-4.1819256	R0:N6:S0:1	0.89232504	20a4d9d	v2.1.5	 3.93e-02	 8.11e-04	 3.64e-03	general_bath_1D.py	2023-07-27@12:30

model	omega	E_kin	E_pot	U	eb1_1	eb2_1	eb3_1	eb4_1	mu	t	tb1_1	tb2_1	tb3_1	tb4_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	E0_1	sector_1	n_1	githash	version	distance	diff_param	diff_hybrid	script	time	
2L_4b_gen	0.50782696	-1.0100322	0.30687753	4	0.3524516	-0.19729198	0.34467057	-0.19676253	1.025	1	0.32853584	0.32851896	0.32755616	0.32765396	0.86611985	-1.0100322	nan	nan	nan	nan	nan	0.89693123	-0.60298026	nan	nan	nan	nan	-4.2262154	R0:N6:S0:1	0.89693123	20a4d9d	v2.1.5	 3.94e-02	 3.62e-03	 1.00e+06	general_bath_1D.py	2023-07-27@12:31
2L_4b_gen	0.51102155	-1.0069193	0.30251385	4	0.35702066	-0.20102494	0.35015077	-0.19902428	1.025	1	0.32540246	0.33115568	0.32421603	0.3302444	0.86442374	-1.0069193	nan	nan	nan	nan	nan	0.8961063	-0.60207462	nan	nan	nan	nan	-4.2329568	R0:N6:S0:1	0.8961063	20a4d9d	v2.1.5	 3.95e-02	 3.99e-03	 7.56e-03	general_bath_1D.py	2023-07-27@12:32
2L_4b_gen	0.50626863	-1.007679	0.30302032	4	0.36339461	-0.19863613	0.35664075	-0.19729978	1.025	1	0.3281594	0.32796634	0.32714372	0.32712607	0.86534311	-1.007679	nan	nan	nan	nan	nan	0.89654067	-0.60573378	nan	nan	nan	nan	-4.2226697	R0:N6:S0:1	0.89654067	20a4d9d	v2.1.5	 3.92e-02	 3.20e-03	 5.34e-03	general_bath_1D.py	2023-07-27@12:32
2L_4b_gen	0.51451282	-1.0074919	0.31600014	4	0.36586289	-0.20408915	0.35961566	-0.20187331	1.025	1	0.32614737	0.32992778	0.32499863	0.3290439	0.86610159	-1.0074919	nan	nan	nan	nan	nan	0.89863823	-0.60750408	nan	nan	nan	nan	-4.239382	R0:N6:S0:1	0.89863823	20a4d9d	v2.1.5	 3.96e-02	 1.76e-03	 5.83e-03	general_bath_1D.py	2023-07-27@12:33
2L_4b_gen	0.5132684	-1.0057451	0.30461636	4	0.36313462	-0.20382376	0.35619908	-0.20176304	1.025	1	0.32452419	0.33007638	0.32330932	0.32916162	0.86475593	-1.0057451	nan	nan	nan	nan	nan	0.89727193	-0.60547417	nan	nan	nan	nan	-4.2366844	R0:N6:S0:1	0.89727193	20a4d9d	v2.1.5	 3.94e-02	 4.92e-04	 1.53e-03	general_bath_1D.py	2023-07-27@12:34
2L_4b_gen	0.51209472	-1.0109716	0.30437716	4	0.36314513	-0.20290387	0.35658324	-0.20119544	1.025	1	0.32498591	0.32987113	0.32389688	0.32903464	0.86590649	-1.0109716	nan	nan	nan	nan	nan	0.8985562	-0.61022872	nan	nan	nan	nan	-4.2346724	R0:N6:S0:1	0.8985562	20a4d9d	v2.1.5	 3.96e-02	 1.48e-03	 9.24e-04	general_bath_1D.py	2023-07-27@12:35
2L_4b_gen	0.51262197	-1.0077549	0.30462013	4	0.36071269	-0.20320274	0.35330038	-0.20104376	1.025	1	0.32455884	0.3300395	0.32327334	0.32906598	0.86587645	-1.0077549	nan	nan	nan	nan	nan	0.8976531	-0.60662216	nan	nan	nan	nan	-4.2353154	R0:N6:S0:1	0.8976531	20a4d9d	v2.1.5	 3.92e-02	 2.95e-03	 9.06e-04	general_bath_1D.py	2023-07-27@12:36
2L_4b_gen	0.51751243	-1.0055559	0.3037645	4	0.36523194	-0.20550887	0.35919748	-0.20336974	1.025	1	0.32515211	0.33116222	0.32403596	0.33032265	0.86513901	-1.0055559	nan	nan	nan	nan	nan	0.89720318	-0.60549501	nan	nan	nan	nan	-4.2450608	R0:N6:S0:1	0.89720318	20a4d9d	v2.1.5	 3.92e-02	 1.73e-03	 2.71e-03	general_bath_1D.py	2023-07-27@12:37
2L_4b_gen	0.51463429	-1.0050619	0.30187544	4	0.36829692	-0.20437958	0.36210632	-0.20254607	1.025	1	0.32585407	0.32991379	0.3247845	0.32909528	0.86518156	-1.0050619	nan	nan	nan	nan	nan	0.89810619	-0.6057798	nan	nan	nan	nan	-4.2394013	R0:N6:S0:1	0.89810619	20a4d9d	v2.1.5	 3.91e-02	 1.53e-03	 1.89e-03	general_bath_1D.py	2023-07-27@12:37
2L_4b_gen	0.51412678	-1.0049473	0.30236488	4	0.36537412	-0.20387063	0.35914623	-0.20227425	1.025	1	0.32513328	0.33013203	0.32410098	0.32934892	0.866576	-1.0049473	nan	nan	nan	nan	nan	0.89922187	-0.6054458	nan	nan	nan	nan	-4.23819	R0:N6:S0:1	0.89922187	20a4d9d	v2.1.5	 3.91e-02	 9.49e-04	 1.24e-03	general_bath_1D.py	2023-07-27@12:38
2L_4b_gen	0.51585685	-1.0089506	0.3037376	4	0.36551493	-0.20511821	0.35952441	-0.20332852	1.025	1	0.32412001	0.33120229	0.32307236	0.33041938	0.86543922	-1.0089506	nan	nan	nan	nan	nan	0.89851561	-0.60865965	nan	nan	nan	nan	-4.242209	R0:N6:S0:1	0.89851561	20a4d9d	v2.1.5	 3.94e-02	 2.10e-03	 2.11e-03	general_bath_1D.py	2023-07-27@12:39
2L_4b_gen	0.51174236	-1.0063532	0.30142281	4	0.3634416	-0.20271226	0.35651544	-0.20077423	1.025	1	0.32555591	0.32954506	0.3243827	0.32863546	0.86562933	-1.0063532	nan	nan	nan	nan	nan	0.89794368	-0.60578033	nan	nan	nan	nan	-4.2338686	R0:N6:S0:1	0.89794368	20a4d9d	v2.1.5	 3.93e-02	 6.79e-04	 3.83e-03	general_bath_1D.py	2023-07-27@12:40
2L_4b_gen	0.51391944	-1.0097979	0.30728762	4	0.36336916	-0.20360664	0.35720687	-0.2020228	1.025	1	0.32506347	0.32997268	0.32404406	0.32918918	0.86592371	-1.0097979	nan	nan	nan	nan	nan	0.89800623	-0.60903215	nan	nan	nan	nan	-4.2378442	R0:N6:S0:1	0.89800623	20a4d9d	v2.1.5	 3.90e-02	 2.48e-03	 1.15e-03	general_bath_1D.py	2023-07-27@12:41
2L_4b_gen	0.51863036	-1.0040496	0.30287839	4	0.3671658	-0.20603992	0.36151926	-0.20396442	1.025	1	0.32516355	0.33175265	0.32410283	0.33096008	0.86474475	-1.0040496	nan	nan	nan	nan	nan	0.89745629	-0.60309404	nan	nan	nan	nan	-4.2474832	R0:N6:S0:1	0.89745629	20a4d9d	v2.1.5	 3.88e-02	 4.14e-03	 2.99e-03	general_bath_1D.py	2023-07-27@12:42
2L_4b_gen	0.51238427	-1.0084537	0.30647061	4	0.37413013	-0.20255996	0.3683258	-0.20109972	1.025	1	0.32790918	0.32998692	0.32696834	0.3292411	0.86496139	-1.0084537	nan	nan	nan	nan	nan	0.89934376	-0.60986307	nan	nan	nan	nan	-4.2350781	R0:N6:S0:1	0.89934376	20a4d9d	v2.1.5	 3.96e-02	 8.43e-03	 3.46e-03	general_bath_1D.py	2023-07-27@12:43
2L_4b_gen	0.5132753	-1.0072904	0.30090757	4	0.35916791	-0.20372178	0.35133541	-0.20184387	1.025	1	0.32297016	0.33095462	0.32167379	0.32999443	0.86611167	-1.0072904	nan	nan	nan	nan	nan	0.89839059	-0.60656381	nan	nan	nan	nan	-4.2367248	R0:N6:S0:1	0.89839059	20a4d9d	v2.1.5	 3.94e-02	 7.59e-04	 4.92e-03	general_bath_1D.py	2023-07-27@12:44
2L_4b_gen	0.51550917	-1.0126196	0.30906244	4	0.35901394	-0.20471213	0.3522231	-0.20262318	1.025	1	0.32390605	0.33055136	0.3227004	0.32965176	0.86476116	-1.0126196	nan	nan	nan	nan	nan	0.89624685	-0.61020643	nan	nan	nan	nan	-4.2414217	R0:N6:S0:1	0.89624685	20a4d9d	v2.1.5	 3.93e-02	 3.69e-03	 1.82e-03	general_bath_1D.py	2023-07-27@12:45

model	omega	E_kin	E_pot	U	eb1_1	eb2_1	eb3_1	eb4_1	mu	t	tb1_1	tb2_1	tb3_1	tb4_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	E0_1	sector_1	n_1	githash	version	distance	diff_param	diff_hybrid	script	time	
2L_4b_gen	0.51470579	-1.0083137	0.30791254	4	0.36564127	-0.20350088	0.35841486	-0.20104374	1.05	1	0.32715949	0.32958884	0.32585514	0.32857511	0.87127356	-1.0083137	nan	nan	nan	nan	nan	0.90212804	-0.60881609	nan	nan	nan	nan	-4.2831484	R0:N6:S0:1	0.90212804	20a4d9d	v2.1.5	 3.89e-02	 5.92e-03	 1.00e+06	general_bath_1D.py	2023-07-27@12:46
2L_4b_gen	0.52052703	-1.0052998	0.30635373	4	0.37284099	-0.20855161	0.36938457	-0.20575713	1.05	1	0.32272679	0.33292774	0.3217776	0.3322485	0.8702177	-1.0052998	nan	nan	nan	nan	nan	0.90464997	-0.60933745	nan	nan	nan	nan	-4.2950371	R0:N6:S0:1	0.90464997	20a4d9d	v2.1.5	 3.90e-02	 3.52e-03	 1.06e-02	general_bath_1D.py	2023-07-27@12:46
2L_4b_gen	0.51480438	-1.0115867	0.30940838	4	0.36774544	-0.20597872	0.36204188	-0.20348084	1.05	1	0.32097909	0.33248109	0.31981515	0.33165626	0.87116098	-1.0115867	nan	nan	nan	nan	nan	0.90536236	-0.61484581	nan	nan	nan	nan	-4.2838056	R0:N6:S0:1	0.90536236	20a4d9d	v2.1.5	 3.94e-02	 2.27e-03	 2.83e-03	general_bath_1D.py	2023-07-27@12:47
2L_4b_gen	0.51746458	-1.0067843	0.30722859	4	0.36334784	-0.20729341	0.35792673	-0.20420273	1.05	1	0.32006244	0.33320899	0.31880217	0.33233744	0.87034853	-1.0067843	nan	nan	nan	nan	nan	0.90306875	-0.60928968	nan	nan	nan	nan	-4.2887797	R0:N6:S0:1	0.90306875	20a4d9d	v2.1.5	 3.90e-02	 3.56e-03	 1.44e-03	general_bath_1D.py	2023-07-27@12:48
2L_4b_gen	0.51636472	-1.0045054	0.30712913	4	0.36968646	-0.20663097	0.36483921	-0.20390553	1.05	1	0.32216769	0.3318519	0.32106808	0.33106528	0.87171238	-1.0045054	nan	nan	nan	nan	nan	0.90570006	-0.60904077	nan	nan	nan	nan	-4.28628	R0:N6:S0:1	0.90570006	20a4d9d	v2.1.5	 3.91e-02	 2.11e-03	 3.01e-03	general_bath_1D.py	2023-07-27@12:49
2L_4b_gen	0.51741243	-1.0066702	0.3072237	4	0.36754255	-0.207703	0.36249052	-0.20503541	1.05	1	0.31934402	0.33372528	0.31821562	0.33294248	0.87085673	-1.0066702	nan	nan	nan	nan	nan	0.90495312	-0.61062786	nan	nan	nan	nan	-4.2887147	R0:N6:S0:1	0.90495312	20a4d9d	v2.1.5	 3.92e-02	 9.99e-04	 4.22e-03	general_bath_1D.py	2023-07-27@12:50
2L_4b_gen	0.51770508	-1.0060884	0.30996639	4	0.36810232	-0.20742011	0.36302737	-0.20477022	1.05	1	0.32098821	0.3327737	0.31985928	0.3319844	0.87128006	-1.0060884	nan	nan	nan	nan	nan	0.90625003	-0.60910398	nan	nan	nan	nan	-4.2891176	R0:N6:S0:1	0.90625003	20a4d9d	v2.1.5	 3.90e-02	 1.88e-03	 2.54e-03	general_bath_1D.py	2023-07-27@12:51
2L_4b_gen	0.51708125	-1.0060119	0.29996758	4	0.36555372	-0.2065614	0.35974813	-0.20406869	1.05	1	0.31990641	0.33470052	0.31870804	0.33387758	0.87107013	-1.0060119	nan	nan	nan	nan	nan	0.90459641	-0.60837119	nan	nan	nan	nan	-4.288414	R0:N6:S0:1	0.90459641	20a4d9d	v2.1.5	 3.92e-02	 1.68e-03	 4.25e-03	general_bath_1D.py	2023-07-27@12:51
2L_4b_gen	0.51842503	-1.0062634	0.30934088	4	0.36569082	-0.20735037	0.36079413	-0.20495914	1.05	1	0.32157311	0.33201435	0.32053216	0.33126447	0.87233026	-1.0062634	nan	nan	nan	nan	nan	0.90530008	-0.60951257	nan	nan	nan	nan	-4.2904923	R0:N6:S0:1	0.90530008	20a4d9d	v2.1.5	 3.90e-02	 2.49e-03	 5.79e-03	general_bath_1D.py	2023-07-27@12:52
2L_4b_gen	0.5198298	-1.0094044	0.31336726	4	0.3697574	-0.20857094	0.36564762	-0.20600337	1.05	1	0.32064578	0.33364252	0.31965172	0.33294772	0.87064576	-1.0094044	nan	nan	nan	nan	nan	0.90583438	-0.61329472	nan	nan	nan	nan	-4.2937884	R0:N6:S0:1	0.90583438	20a4d9d	v2.1.5	 3.94e-02	 5.32e-03	 3.75e-03	general_bath_1D.py	2023-07-27@12:53
2L_4b_gen	0.51496712	-1.0063792	0.30696311	4	0.3607353	-0.20601395	0.35445259	-0.20320341	1.05	1	0.3192024	0.33323392	0.31789276	0.33233103	0.87044987	-1.0063792	nan	nan	nan	nan	nan	0.90376872	-0.60825995	nan	nan	nan	nan	-4.2839865	R0:N6:S0:1	0.90376872	20a4d9d	v2.1.5	 3.92e-02	 2.60e-03	 4.19e-03	general_bath_1D.py	2023-07-27@12:54
2L_4b_gen	0.51335737	-1.0088428	0.31051305	4	0.36499079	-0.20505406	0.35921772	-0.20223417	1.05	1	0.32125267	0.33203654	0.320015	0.33116147	0.87057079	-1.0088428	nan	nan	nan	nan	nan	0.90441248	-0.61052582	nan	nan	nan	nan	-4.2807375	R0:N6:S0:1	0.90441248	20a4d9d	v2.1.5	 3.88e-02	 2.21e-03	 2.52e-03	general_bath_1D.py	2023-07-27@12:55
2L_4b_gen	0.51384014	-1.0043205	0.30741165	4	0.36891016	-0.20478194	0.36370273	-0.20219551	1.05	1	0.32202651	0.33299247	0.3209063	0.33219057	0.8706445	-1.0043205	nan	nan	nan	nan	nan	0.90433756	-0.60821885	nan	nan	nan	nan	-4.2816256	R0:N6:S0:1	0.90433756	20a4d9d	v2.1.5	 3.94e-02	 1.14e-03	 2.05e-03	general_bath_1D.py	2023-07-27@12:56
2L_4b_gen	0.51351111	-1.0063232	0.30609605	4	0.37044978	-0.20579488	0.36462977	-0.2032107	1.05	1	0.32086222	0.33198458	0.31966593	0.33113471	0.87163806	-1.0063232	nan	nan	nan	nan	nan	0.90539378	-0.61202225	nan	nan	nan	nan	-4.2805235	R0:N6:S0:1	0.90539378	20a4d9d	v2.1.5	 3.88e-02	 1.55e-03	 3.32e-03	general_bath_1D.py	2023-07-27@12:57
2L_4b_gen	0.51854831	-1.0047965	0.30461944	4	0.37049096	-0.20860559	0.36619729	-0.20578149	1.05	1	0.32017518	0.33279633	0.3191058	0.33205807	0.87299202	-1.0047965	nan	nan	nan	nan	nan	0.90695925	-0.61101109	nan	nan	nan	nan	-4.2906419	R0:N6:S0:1	0.90695925	20a4d9d	v2.1.5	 3.92e-02	 2.35e-03	 2.45e-03	general_bath_1D.py	2023-07-27@12:57
2L_4b_gen	0.52353239	-1.005393	0.30899531	4	0.3670034	-0.21109272	0.36285546	-0.20841817	1.05	1	0.3185947	0.33398726	0.31756312	0.33328811	0.87170955	-1.005393	nan	nan	nan	nan	nan	0.90547815	-0.61025313	nan	nan	nan	nan	-4.3006377	R0:N6:S0:1	0.90547815	20a4d9d	v2.1.5	 3.90e-02	 2.09e-03	 2.30e-03	general_bath_1D.py	2023-07-27@12:58
2L_4b_gen	0.52168737	-1.0043658	0.29597347	4	0.37065675	-0.20965583	0.36637584	-0.20713881	1.05	1	0.32023573	0.33396605	0.31921719	0.33327487	0.87048098	-1.0043658	nan	nan	nan	nan	nan	0.90485242	-0.60936696	nan	nan	nan	nan	-4.2972128	R0:N6:S0:1	0.90485242	20a4d9d	v2.1.5	 3.91e-02	 2.75e-03	 1.81e-03	general_bath_1D.py	2023-07-27@12:59

model	omega	E_kin	E_pot	U	eb1_1	eb2_1	eb3_1	eb4_1	mu	t	tb1_1	tb2_1	tb3_1	tb4_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	E0_1	sector_1	n_1	githash	version	distance	diff_param	diff_hybrid	script	time	
2L_4b_gen	0.51745539	-1.0049841	0.31121876	4	0.36657024	-0.20711056	0.36129689	-0.20465794	1.075	1	0.32023766	0.3323832	0.31912923	0.33160546	0.87808282	-1.0049841	nan	nan	nan	nan	nan	0.90947503	-0.61116722	nan	nan	nan	nan	-4.3322558	R0:N6:S0:1	0.90947503	20a4d9d	v2.1.5	 3.85e-02	 1.15e-02	 1.00e+06	general_bath_1D.py	2023-07-27@13:00
2L_4b_gen	0.53021242	-1.0021626	0.31070018	4	0.38478301	-0.21511155	0.38481664	-0.21268356	1.075	1	0.31860889	0.33628793	0.31813242	0.33596218	0.87510336	-1.0021626	nan	nan	nan	nan	nan	0.91087192	-0.61266524	nan	nan	nan	nan	-4.3580545	R0:N6:S0:1	0.91087192	20a4d9d	v2.1.5	 3.83e-02	 2.61e-03	 1.24e-02	general_bath_1D.py	2023-07-27@13:01
2L_4b_gen	0.52127778	-1.0027827	0.31337628	4	0.38423636	-0.21096117	0.38151098	-0.20841212	1.075	1	0.31907625	0.33445591	0.31824631	0.3338888	0.87463363	-1.0027827	nan	nan	nan	nan	nan	0.90926962	-0.61342376	nan	nan	nan	nan	-4.3401289	R0:N6:S0:1	0.90926962	20a4d9d	v2.1.5	 3.84e-02	 1.67e-03	 3.40e-03	general_bath_1D.py	2023-07-27@13:02
2L_4b_gen	0.5211862	-1.0028754	0.31148636	4	0.38668593	-0.21125146	0.38471524	-0.20863267	1.075	1	0.3200678	0.33308486	0.3193271	0.33255978	0.87605344	-1.0028754	nan	nan	nan	nan	nan	0.91104996	-0.61508134	nan	nan	nan	nan	-4.3398317	R0:N6:S0:1	0.91104996	20a4d9d	v2.1.5	 3.86e-02	 1.44e-03	 2.82e-03	general_bath_1D.py	2023-07-27@13:02
2L_4b_gen	0.52355537	-1.0024068	0.31059726	4	0.38771302	-0.21291191	0.3854704	-0.21028393	1.075	1	0.3184294	0.33451751	0.31764748	0.33397706	0.87617467	-1.0024068	nan	nan	nan	nan	nan	0.91262195	-0.6151906	nan	nan	nan	nan	-4.3446653	R0:N6:S0:1	0.91262195	20a4d9d	v2.1.5	 3.86e-02	 4.05e-03	 3.13e-03	general_bath_1D.py	2023-07-27@13:03
2L_4b_gen	0.52193176	-1.0019956	0.31082711	4	0.38010246	-0.21195092	0.37729167	-0.20934674	1.075	1	0.31696229	0.33463011	0.31611059	0.33405487	0.87384176	-1.0019956	nan	nan	nan	nan	nan	0.90903124	-0.61276767	nan	nan	nan	nan	-4.341619	R0:N6:S0:1	0.90903124	20a4d9d	v2.1.5	 3.84e-02	 2.09e-03	 2.47e-03	general_bath_1D.py	2023-07-27@13:04
2L_4b_gen	0.5190132	-1.0025289	0.31076489	4	0.38245173	-0.21001653	0.37951898	-0.20736786	1.075	1	0.31943082	0.33311656	0.31856589	0.33251236	0.87525197	-1.0025289	nan	nan	nan	nan	nan	0.91039684	-0.61333147	nan	nan	nan	nan	-4.33564	R0:N6:S0:1	0.91039684	20a4d9d	v2.1.5	 3.84e-02	 9.97e-04	 3.35e-03	general_bath_1D.py	2023-07-27@13:05
