model     	E_kin       	U 	eb1_1     	eb2_1       	eb3_1     	eb4_1       	mu 	t 	tb1_1      	tb2_1      	tb3_1      	tb4_1      	ave_mu     	ave_t       	ave_U_1 	ave_eb1_1 	ave_eb2_1 	ave_eb3_1 	ave_eb4_1 	ave_mu_1   	ave_t_1     	ave_tb1_1 	ave_tb2_1 	ave_tb3_1 	ave_tb4_1 	E0_1       	sector_1   	n_1        	githash 	version 	script             	time             	
2L_4b_gen 	-0.98459652 	4 	1.1358369 	-1.1705023  	1.1358248 	-1.1705107  	2  	1 	0.43166423 	0.43391214 	0.43165868 	0.43391047 	0.99819947 	-0.98459652 	nan     	nan       	nan       	nan       	nan       	0.99824402 	-0.69077952 	nan       	nan       	nan       	nan       	-9.9911165 	R0:N6:S0:1 	0.99824402 	20a4d9d 	v2.1.5  	general_bath_1D.py 	2023-07-17@10:40 
2L_4b_gen 	-0.97067656 	4 	1.1345269 	-1.1701989  	1.1344123 	-1.1700432  	2  	1 	0.4343102  	0.43526874 	0.43428418 	0.43523644 	0.995269   	-0.97067656 	nan     	nan       	nan       	nan       	nan       	0.99434313 	-0.67799199 	nan       	nan       	nan       	nan       	-9.9989323 	R0:N6:S0:1 	0.99434313 	20a4d9d 	v2.1.5  	general_bath_1D.py 	2023-07-17@10:41 
2L_4b_gen 	-0.9764615  	4 	1.1637553 	-1.1410962  	1.1637987 	-1.141099   	2  	1 	0.43477958 	0.43169012 	0.43478937 	0.43169284 	1.0014587  	-0.9764615  	nan     	nan       	nan       	nan       	nan       	1.0012144  	-0.68452878 	nan       	nan       	nan       	nan       	-9.8808619 	R0:N6:S0:1 	1.0012144  	20a4d9d 	v2.1.5  	general_bath_1D.py 	2023-07-17@10:41 
2L_4b_gen 	-0.98100137 	4 	1.1778489 	-1.1545512  	1.1779985 	-1.1546091  	2  	1 	0.43507313 	0.43504395 	0.43510191 	0.4350552  	0.99743141 	-0.98100137 	nan     	nan       	nan       	nan       	nan       	0.99720178 	-0.68682726 	nan       	nan       	nan       	nan       	-9.9211372 	R0:N6:S0:1 	0.99720178 	20a4d9d 	v2.1.5  	general_bath_1D.py 	2023-07-17@10:41 
2L_4b_gen 	-0.95606891 	4 	1.1657436 	-1.1206398  	1.1658317 	-1.1207107  	2  	1 	0.43525728 	0.4323101  	0.43528393 	0.43232897 	0.99863365 	-0.95606891 	nan     	nan       	nan       	nan       	nan       	0.99821102 	-0.66545222 	nan       	nan       	nan       	nan       	-9.792282  	R0:N6:S0:1 	0.99821102 	20a4d9d 	v2.1.5  	general_bath_1D.py 	2023-07-17@10:42 
2L_4b_gen 	-0.95652135 	4 	1.1945837 	-1.131413   	1.1946152 	-1.131435   	2  	1 	0.43345468 	0.43136228 	0.43346107 	0.43136707 	1.0009948  	-0.95652135 	nan     	nan       	nan       	nan       	nan       	1.0015298  	-0.66773642 	nan       	nan       	nan       	nan       	-9.8326542 	R0:N6:S0:1 	1.0015298  	20a4d9d 	v2.1.5  	general_bath_1D.py 	2023-07-17@10:42 
2L_4b_gen 	-0.9843197  	4 	1.1986853 	-1.1709771  	1.1987317 	-1.1709965  	2  	1 	0.4350675  	0.43568022 	0.43507658 	0.43568485 	1.002724   	-0.9843197  	nan     	nan       	nan       	nan       	nan       	1.0026696  	-0.69107147 	nan       	nan       	nan       	nan       	-9.9798905 	R0:N6:S0:1 	1.0026696  	20a4d9d 	v2.1.5  	general_bath_1D.py 	2023-07-17@10:43 
2L_4b_gen 	-0.96410533 	4 	1.0221466 	-1.0379074  	1.0221593 	-1.0379131  	2  	1 	0.4094642  	0.4185257  	0.40946272 	0.41852262 	1.0014448  	-0.96410533 	nan     	nan       	nan       	nan       	nan       	1.00087    	-0.67092318 	nan       	nan       	nan       	nan       	-9.4420476 	R0:N6:S0:1 	1.00087    	20a4d9d 	v2.1.5  	general_bath_1D.py 	2023-07-17@10:43 
2L_4b_gen 	-0.97817166 	4 	1.168333  	-1.1154485  	1.1682952 	-1.1154335  	2  	1 	0.43212577 	0.43131175 	0.43212078 	0.43130989 	1.0103469  	-0.97817166 	nan     	nan       	nan       	nan       	nan       	1.0103392  	-0.68729825 	nan       	nan       	nan       	nan       	-9.7692355 	R0:N6:S0:1 	1.0103392  	20a4d9d 	v2.1.5  	general_bath_1D.py 	2023-07-17@10:43 
2L_4b_gen 	-0.99539239 	4 	1.1738724 	-1.1646131  	1.1739502 	-1.1645944  	2  	1 	0.42962357 	0.43813213 	0.42963451 	0.43813568 	1.0030277  	-0.99539239 	nan     	nan       	nan       	nan       	nan       	1.0037348  	-0.70046126 	nan       	nan       	nan       	nan       	-9.9686758 	R0:N6:S0:1 	1.0037348  	20a4d9d 	v2.1.5  	general_bath_1D.py 	2023-07-17@10:44 
2L_4b_gen 	-0.99113028 	4 	1.1467488 	-1.1364938  	1.1467332 	-1.1364618  	2  	1 	0.43383508 	0.4349261  	0.43383338 	0.43491951 	0.99273254 	-0.99113028 	nan     	nan       	nan       	nan       	nan       	0.99247893 	-0.69697273 	nan       	nan       	nan       	nan       	-9.8403308 	R0:N6:S0:1 	0.99247893 	20a4d9d 	v2.1.5  	general_bath_1D.py 	2023-07-17@10:44 
2L_4b_gen 	-0.96808201 	4 	1.1942899 	-1.1186152  	1.1942505 	-1.1186632  	2  	1 	0.43881844 	0.42965381 	0.43881018 	0.42966207 	1.0087206  	-0.96808201 	nan     	nan       	nan       	nan       	nan       	1.0082023  	-0.67582308 	nan       	nan       	nan       	nan       	-9.7878156 	R0:N6:S0:1 	1.0082023  	20a4d9d 	v2.1.5  	general_bath_1D.py 	2023-07-17@10:45 
2L_4b_gen 	-0.97022913 	4 	1.1664451 	-1.1177776  	1.1663465 	-1.1177524  	2  	1 	0.4295026  	0.43352835 	0.42948158 	0.43352329 	1.0022759  	-0.97022913 	nan     	nan       	nan       	nan       	nan       	1.0022046  	-0.67830218 	nan       	nan       	nan       	nan       	-9.7651248 	R0:N6:S0:1 	1.0022046  	20a4d9d 	v2.1.5  	general_bath_1D.py 	2023-07-17@10:45 
2L_4b_gen 	-0.99380719 	4 	1.1852808 	-1.1052508  	1.1853073 	-1.105313   	2  	1 	0.43284244 	0.43097885 	0.43284955 	0.43099256 	0.99255218 	-0.99380719 	nan     	nan       	nan       	nan       	nan       	0.99508838 	-0.69917342 	nan       	nan       	nan       	nan       	-9.7370343 	R0:N6:S0:1 	0.99508838 	20a4d9d 	v2.1.5  	general_bath_1D.py 	2023-07-17@10:45 
