model	omega	E_kin	E_pot	U	eb1_1	eb2_1	eb3_1	eb4_1	mu	t	tb1_1	tb2_1	tb3_1	tb4_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	E0_1	sector_1	n_1	githash	version	omegaH	script	time	
2L_4b_gen	0.52447562	-1.0168523	0.29848808	4	0.34863591	-0.20547952	0.34781824	-0.20409521	1	1	0.33011542	0.32915779	0.32976637	0.32890134	0.85708135	-1.0168523	nan	nan	nan	nan	nan	0.88759997	-0.59825912	nan	nan	nan	nan	-4.2047373	R0:N6:S0:1	0.88759997	20a4d9d	v2.1.5	0.52447562	general_bath_1D.py	2023-07-26@10:33
2L_4b_gen	0.49973617	-1.0047842	0.28741842	4	0.35021428	-0.18881455	0.34303027	-0.18716874	1	1	0.34131651	0.3238719	0.34030299	0.32278195	0.85872618	-1.0047842	nan	nan	nan	nan	nan	0.88780001	-0.58212066	nan	nan	nan	nan	-4.1591007	R0:N6:S0:1	0.88780001	20a4d9d	v2.1.5	0.49973617	general_bath_1D.py	2023-07-26@10:33
2L_4b_gen	0.51683746	-1.0319969	-0.62626371	4	0.29359155	-0.19646005	0.29073754	-0.1950317	1	1	0.33465013	0.31902605	0.33413314	0.31847672	0.85833225	-1.0319969	nan	nan	nan	nan	nan	0.87459996	-0.59785596	nan	nan	nan	nan	-4.1968072	R0:N6:S0:1	0.87459996	20a4d9d	v2.1.5	0.51683746	general_bath_1D.py	2023-07-26@10:34
2L_4b_gen	0.49241003	-1.0233592	-0.8066739	4	0.36486427	-0.18482331	0.35809954	-0.18455164	1	1	0.34964094	0.31757483	0.34892926	0.31665837	0.85243905	-1.0233592	nan	nan	nan	nan	nan	0.88046346	-0.6070889	nan	nan	nan	nan	-4.146225	R0:N6:S0:1	0.88046346	20a4d9d	v2.1.5	0.49241003	general_bath_1D.py	2023-07-26@10:34
2L_4b_gen	0.49241003	-1.0233592	-0.8066739	4	0.36486427	-0.18482331	0.35809954	-0.18455164	1	1	0.34964094	0.31757483	0.34892926	0.31665837	0.85243905	-1.0233592	nan	nan	nan	nan	nan	0.88046346	-0.6070889	nan	nan	nan	nan	-4.146225	R0:N6:S0:1	0.88046346	20a4d9d	v2.1.5	0.49241003	general_bath_1D.py	2023-07-26@10:34
2L_4b_gen	0.49280201	-1.0260033	0.32816339	4	0.36985667	-0.18596701	0.36357662	-0.18726046	1.1	1	0.34399558	0.31907524	0.34355838	0.31850945	0.87252873	-1.0260033	nan	nan	nan	nan	nan	0.89439991	-0.61450574	nan	nan	nan	nan	-4.320088	R0:N6:S0:1	0.89439991	20a4d9d	v2.1.5	0.49280201	general_bath_1D.py	2023-07-26@10:34
2L_4b_gen	0.57035213	-1.0101975	0.21738906	4	0.3915436	-0.22713682	0.39428934	-0.22645082	1.1	1	0.3426808	0.32988864	0.34285499	0.33009923	0.87304121	-1.0101975	nan	nan	nan	nan	nan	0.90146082	-0.60543313	nan	nan	nan	nan	-4.4760679	R0:N6:S0:1	0.90146082	20a4d9d	v2.1.5	0.57035213	general_bath_1D.py	2023-07-26@10:35
2L_4b_gen	0.5126901	-1.0164551	0.30282234	4	0.39633379	-0.20068232	0.39505985	-0.19936027	1.1	1	0.34052462	0.32331002	0.34016467	0.32298156	0.87719777	-1.0164551	nan	nan	nan	nan	nan	0.90733169	-0.61468412	nan	nan	nan	nan	-4.3586101	R0:N6:S0:1	0.90733169	20a4d9d	v2.1.5	0.5126901	general_bath_1D.py	2023-07-26@10:35
2L_4b_gen	0.54427372	-1.006792	-0.3303683	4	0.38817477	-0.21603036	0.38891244	-0.21514228	1.1	1	0.33174837	0.33264801	0.33166576	0.33259605	0.87625203	-1.006792	nan	nan	nan	nan	nan	0.90042564	-0.60805094	nan	nan	nan	nan	-4.4233303	R0:N6:S0:1	0.90042564	20a4d9d	v2.1.5	0.54427372	general_bath_1D.py	2023-07-26@10:36
2L_4b_gen	0.57226643	-0.99892259	-0.18512409	4	0.45324619	-0.23253457	0.45522308	-0.23232373	1.1	1	0.33794825	0.33963224	0.33811758	0.33977495	0.87505343	-0.99892259	nan	nan	nan	nan	nan	0.91633329	-0.61480114	nan	nan	nan	nan	-4.483999	R0:N6:S0:1	0.91633329	20a4d9d	v2.1.5	0.57226643	general_bath_1D.py	2023-07-26@10:36
